Image,Brown_Ratio
FAH_N1.png,0.855852125601775
FAH_N2.png,0.869130240490283
FAH_N3.png,0.898087858161007
FAH_N4.png,0.917843709679075
FAH_N5.png,0.75952638654038
FAH_N6.png,0.885151482805857
FAH_T1.png,0.656313546433539
FAH_T10.png,0.873835241562162
FAH_T11.png,0.902232604795966
FAH_T12.png,0.922731194219344
FAH_T13.png,0.959095370757972
FAH_T14.png,0.114679703949467
FAH_T15.png,0.0591026441216523
FAH_T16.png,0.189511703774975
FAH_T17.png,0.495437532211867
FAH_T18.png,4.75825882332585e-05
FAH_T19.png,0
FAH_T2.png,0.708039380334958
FAH_T20.png,0.162751920825179
FAH_T21.png,0.117863141086631
FAH_T22.png,0.0109746492526333
FAH_T23.png,0.0437624288555167
FAH_T24.png,0.105750516968739
FAH_T25.png,0.142854970075363
FAH_T3.png,0.650948974994368
FAH_T4.png,0.713789413506501
FAH_T5.png,0.0619220451317658
FAH_T6.png,0.76842417823002
FAH_T7.png,0.80338246530668
FAH_T8.png,0.833757768023988
FAH_T9.png,0.882224206308009
GSTZ1_N1.png,0.872546897918663
GSTZ1_N2.png,0.933499285173661
GSTZ1_N3.png,0.933499285173661
GSTZ1_T1.png,0.213099365013377
GSTZ1_T10.png,0.198164277192765
GSTZ1_T11.png,0.622250749840523
GSTZ1_T12.png,0.673943392841823
GSTZ1_T2.png,0.242486665970404
GSTZ1_T3.png,0.159994475084881
GSTZ1_T4.png,0.253609435479408
GSTZ1_T5.png,0.544136058454931
GSTZ1_T6.png,0.375947063592513
GSTZ1_T7.png,0.523750414585529
GSTZ1_T8.png,0.661515029951113
GSTZ1_T9.png,0.360908858991356
HGD_N1.png,0.85159871784683
HGD_N2.png,0.791521392245912
HGD_N3.png,0.761114679346419
HGD_N4.png,0.781408905115746
HGD_N5.png,0.781408905115746
HGD_N6.png,0.746642497810546
HGD_T1.png,0.66133365901319
HGD_T10.png,0.203880168508526
HGD_T11.png,0.513223714270456
HGD_T12.png,0.650632699237409
HGD_T13.png,0.0548933877943799
HGD_T14.png,0.209298423142832
HGD_T15.png,0.228710186061179
HGD_T16.png,0.175735270008853
HGD_T17.png,0.175735270008853
HGD_T18.png,0.0105423349639708
HGD_T19.png,0.51687434850383
HGD_T2.png,0.393068165120866
HGD_T20.png,0.370881160106286
HGD_T21.png,0.190805653349661
HGD_T22.png,0.113404613404613
HGD_T23.png,0.399176561436774
HGD_T24.png,0.170753101240496
HGD_T25.png,0.625822013986403
HGD_T26.png,0.578848690264401
HGD_T3.png,0.159510708368278
HGD_T4.png,0.202813254464448
HGD_T5.png,0.723260867727015
HGD_T6.png,0.728315872773869
HGD_T7.png,0.651752601517878
HGD_T8.png,0.720212391316983
HGD_T9.png,0.530425881330594
HPD_N1.png,0.831073065948511
HPD_N2.png,0.884675043396557
HPD_N3.png,0.817362108075159
HPD_N4.png,0.820784577933428
HPD_N5.png,0.911938689827174
HPD_N6.png,0.827347922704058
HPD_T1.png,0.716743681693221
HPD_T10.png,0.839599597405631
HPD_T11.png,0.558780672845726
HPD_T12.png,0.00532788176443201
HPD_T13.png,0.00110313202976293
HPD_T14.png,0.886896198771099
HPD_T15.png,0.733748722543118
HPD_T16.png,0.768047609905932
HPD_T17.png,0.469733648810574
HPD_T18.png,0.00390489919143331
HPD_T19.png,7.42718427625998e-05
HPD_T2.png,0.740221132583405
HPD_T20.png,0.378222617732099
HPD_T21.png,0.625619921546652
HPD_T22.png,0.80048615800135
HPD_T23.png,0.852737778384404
HPD_T24.png,0.342778626921463
HPD_T25.png,0.29823068769564
HPD_T26.png,0.00498355628190384
HPD_T27.png,0.00158428954404503
HPD_T28.png,0.957579244690867
HPD_T3.png,0.174668217086051
HPD_T4.png,0.43581361527423
HPD_T5.png,0.00502719435054191
HPD_T6.png,0.000119247784972394
HPD_T7.png,0.000119247784972394
HPD_T8.png,0.604937476520152
HPD_T9.png,0.776449241061567
